Name,Address,Description,Phone,2nd Phone,Website
Christian Labour Association Of Canada,"1351 Kelly Lake Rd, Sudbury, ON P3E 5P5",No description,705-523-9211,No second phone number,No website
Mine Mill Local 598 Caw,"2550 Richard Lake Rd, Sudbury, ON P3G 0A3","Mining WatchThe 16 CUPE workers in the township of Bonfield, (just outside North Bay) are locked out by the municipality. A rally organized by the OFL was set up on October 5, 2013...
more...
See more text",705-673-3661,No second phone number,minemill598.com
United Steelworkers,"2-29 Duncan Ave S, Kirkland Lake, ON P2N 1X5",No description,705-567-1849,No second phone number,No website
Iw A Canada,"532 Centre St, Espanola, ON P5E 1H1",No description,705-869-0727,No second phone number,No website
Cupe Local 210,"912 Pine St S RR 1, Timmins, ON P4N 7C2",No description,705-268-2700,No second phone number,No website
CAW Local 599,"75 Balsam St S, Timmins, ON P4N 2C9",No description,705-268-4599,No second phone number,No website
CUPW Local 624,"75 Balsam St S, Timmins, ON P4N 2C9",No description,705-264-0171,No second phone number,No website
UNIFOR Local 6,"70 Balsam St S, Timmins, ON P4N 2C8",No description,705-264-8993,No second phone number,No website
U S W Local 9350,"B-45 Spruce St S, Timmins, ON P4N 2M4",No description,705-268-0209,No second phone number,No website
Syndicat Canadien de La Fonction Publique,"124 Third Ave, Timmins, ON P4N 1C5",No description,705-264-1269,No second phone number,No website
Canadian Union of Public Employees,"124 Third Ave, Timmins, ON P4N 1C5",No description,705-264-1269,No second phone number,cupe.ca
OPSEU Ontario Public Service Employees Union,"1-414 Algonquin Blvd E, Timmins, ON P4N 1B6",No description,705-267-6285,No second phone number,No website
OPSEU Membership Centre,"11 Riverside Dr, New Liskeard, ON P4N 1B6",No description,705-647-2043,No second phone number,No website
Centres De Sarrte Des Travailleurs Ses De,"57 Mountjoy St S, Timmins, ON P4N 1S6",No description,705-267-1166,No second phone number,No website
United Steelworkers Of America,"114 Algonquin Blvd E, Timmins, ON P4N 1A4",No description,705-267-5658,No second phone number,No website
O S S T F District 1,"E-111 Wilson Ave, Timmins, ON P4N 2S8",No description,705-268-8675,No second phone number,www.osstfdistrict1.ca
Communications Energy & Paper Workers UnionOf Canada,"35 Outlook, QC J0Z 3R0",No description,819-627-3244,No second phone number,No website
Unifor Local 103,"102-107 Shirreff Ave, North Bay, ON P1B 7K8",No description,705-498-6661,No second phone number,www.cawlocal103.com
Cupe Local 2049,"305-269 Main St W, North Bay, ON P1B 2T8",No description,705-478-7965,No second phone number,No website
Canadian Union of Postal Workers Local 576,"101 Worthington St E, North Bay, ON P1B 1G5",No description,705-476-8496,No second phone number,No website
CDN Union Of Public Emp,"120 Lakeshore Dr, North Bay, ON P1A 2A8",No description,705-474-0782,No second phone number,www.cupe997.ca
Canadian Union Of Public Employees,"120 Lakeshore Dr, North Bay, ON P1A 2A8",No description,705-474-9765,No second phone number,No website
Service Employees International Union Local 1.on,"126 Lakeshore Dr, North Bay, ON P1A 2A8","GET THE LATEST HOMECARE UPDATES!Join our mailing list and stay up-to-date with the latest Sweet $16 campaign news. I'd like to join the mailing list to receive the latest Sweet $16...
more...
See more text",705-472-2571,No second phone number,seiulocal1.org
Access Transit Hall,"548 Union St, Iroquois Falls, ON P0K 1G0",No description,705-232-6676,No second phone number,No website
Syndicat De L'Enseignement De La Jamesie Et De L'Abitibi-Temiscamingue,"145 Rue Perreault E, Rouyn-Noranda, QC J9X 3C3",No description,819-762-0929,No second phone number,seuat.ca
United Steelworkers Local 1-2010,"20 Riverside Dr, Kapuskasing, ON P5N 1A3",No description,705-335-2289,No second phone number,No website
Unifor Local 89-0,"7 Aurora Ave, Kapuskasing, ON P5N 1J6",No description,705-337-1868,No second phone number,No website
United Brotherhood Of Carpenters & Joiners Of America Local 2486,"687 Trunk Rd, Sault Ste Marie, ON P6A 3T1",No description,705-949-3170,No second phone number,No website
Unifor Local 1359,"773 Great Northern Rd, Sault Ste Marie, ON P6A 5K7",No description,705-253-2338,1-888-529-6790,www.cawlocal.ca%2F1
International Union Of Operating Engineers,"432 Great Northern Rd, Sault Ste. Marie, ON P6B 4Z9",No description,705-949-4541,No second phone number,iuoelocal793.org
OPSEU,"154 Great Northern Rd, Sault Ste Marie, ON P6B 4Z1",No description,1-844-765-1421,No second phone number,opseu.org
Iron Worker's Union Local 786,"875 Queen St E, Sault Ste Marie, ON P6A 2B3","I guess our history really started prior to the charter in 1958. Prior to 1958 most of our area was part of Local 721 in Toronto and Local 736 in Hamilton. As you might know that t...
more...
See more text",705-253-8258,No second phone number,iw786.com
Canadian Union Postal Workers,"669 Wellington St E, Bsmt, Sault Ste. Marie, ON P6A 2M6",No description,705-942-8759,No second phone number,No website
Ontario Secondary Schools Teachers Federation,"168 McDougald St, Sault Ste Marie, ON P6A 3A8",No description,705-949-7177,No second phone number,No website
Public Service Alliance Of Canada,"477 Queen St E, Sault Ste Marie, ON P6A 1Z5",No description,705-945-8585,No second phone number,No website
Sault Ste Marie Police Association,"262 Queen St E, Sault Ste Marie, ON P6A 1Y7",No description,705-949-7632,No second phone number,No website
Canadian Union Of Public Employees Area Office,"421 Bay St, Sault Ste. Marie, ON P6A 1X3","The Canadian Union of Public Employees is Canada's largest union, with over 628,000 members across the country. CUPE represents workers in health care, emergency services, educatio...
more...
See more text",705-949-6228,No second phone number,cupe.ca
United Steelworkers 2251,"8 Albert St E, Sault Ste Marie, ON P6A 2H6",No description,705-942-3900,No second phone number,www.usw2251.ca
United Steelworkers 2251,"8 Albert St E, Sault Ste Marie, ON P6A 2H6",No description,705-942-2325,No second phone number,www.usw2251.ca
United Steelworkers Of America,"68 Dennis St, Sault Ste. Marie, ON P6A 2W9",No description,705-759-4945,No second phone number,No website
USWA - District 6,"68 Dennis St, Sault Ste Marie, ON P6A 2W9",No description,705-759-4945,No second phone number,No website
International Union Of Painters,"68 Dennis St, Sault Ste Marie, ON P6A 2W9",No description,705-946-1904,No second phone number,No website
United Steel Workers Local 9548,"68 Dennis St, Sault Ste Marie, ON P6A 2W9","The Steelworkers of Sault Ste. Marie represents seven union locals of the United Steelworkers, District Six. We have thousands of members working at Essar Steel Algoma, Tenaris, So...
more...
See more text",705-942-2933,No second phone number,steelworkersofthesault.com
USW Local 2724,"202-550 Queen St W, Sault Ste. Marie, ON P6A 1A6","We need your help|Nous avons besoin de votre aideFrom Ken NeumannEssar Steel USW 2251 Agreement RatifiedLocal 2251 President Mike Da Prat would only say 'a significant percentage' ...
more...
See more text",705-254-2724,No second phone number,www.usw2724.ca
Labourers International Union Of North America 1036,"395 Korah Rd, Sault Ste Marie, ON P6C 4H5",No description,705-942-1036,No second phone number,liuna.ca
OPSEU Midland Regional Offices,"93 Woodland Dr, Midland, ON L4R 4V3",No description,705-527-7997,No second phone number,No website
Community Adjustment Committee,"9 Rue St Antoine, Opasatika, ON",No description,705-369-2147,No second phone number,No website
OPSEU,"1717 2nd Ave E, Owen Sound, ON N4K 6V4",No description,519-371-3428,No second phone number,opseulocal555.org
USWA Local 818,"831 4th Ave E, Owen Sound, ON N4K 2N8",No description,519-376-2398,No second phone number,No website
Union Of National Defence Employees,"22 Paardeburg Blvd, Petawawa, ON K8H 1G8",No description,613-687-4442,No second phone number,No website
USWA Local 252-G ABG Division,"1000 26 Hwy, Collingwood, ON L9Y 4V8",No description,705-445-9555,No second phone number,No website
United Steel Workers Of America Local,"834-116 Hurontario St, Collingwood, ON L9Y 2L8",No description,705-445-4428,No second phone number,unitedsteel.com
CAW Local 1995,"Mountain Rd, Collingwood, ON",No description,705-446-1612,No second phone number,www.cawlocal1995.ca
Collingwood & District Labour Council,"612 Oak St, Collingwood, ON L9Y 2Z3","Recognising Brother Murray Doupe for his dedicationApril 28th, 2009Murray Doupe, a paramedic for forty years in Collingwood, and member of OPSEU for 30 years, served the Collingwoo...
more...
See more text",705-444-5499,No second phone number,collingwoodlabour.ca
United Steel Workers Union Ofc,"25 Sandford Fleming Rd, Collingwood, ON L9Y 5A6",No description,705-445-9450,No second phone number,No website
Ontario Nurses Association,"210 Memorial Ave, Orillia, ON L3V 7V1",No description,705-327-0404,No second phone number,www.ona.org
Canadian Office & Professional Employees Union,"170 Ellis Ave, Pembroke, ON K8A 2H9",No description,613-732-3300,No second phone number,No website
United Assn Local 599,"295 Edgehill Dr, Barrie, ON L4N 9X5",No description,705-722-0754,No second phone number,www.ualocal599.ca
Canadian Union Of Public Employees,"1407-64 Cedar Pointe Dr, Barrie, ON L4N 5R7",No description,705-722-7387,No second phone number,www.cupe.ca
Unit For Local 542,"26 Lorena St, Barrie, ON L4N 4P4",No description,705-739-3532,No second phone number,No website
International Brotherhood Of Electrical WorkersLocal 1739,"178 Tiffin St, Barrie, ON L4N 2N4",No description,705-734-9590,No second phone number,www.ibew.ca
Ontario Public School Teachers' Federation,"226 Little Ave, Barrie, ON L4N 6L3",No description,705-728-5765,No second phone number,www.facebook.com%2F489418197933
Sheet Metal Union Local 3,"106 Saunders Rd, Barrie, ON L4N 9A8",No description,705-719-7298,No second phone number,www.facebook.com%2F622851054531
Universal Workers Union,"64 Saunders Rd, Barrie, ON L4N 9A8",No description,705-719-1314,No second phone number,www.facebook.com%2F1782220725341
International Brotherhood Of Electric Workers,"2 Saunders Rd, Barrie, ON L4N 9A8","The International Brotherhood of Electrical Workers (IBEW) Local 353 is a forward thinking, highly skilled, and dedicated electrical union. IBEW Local 353 represents approximately ...
more...
See more text",705-728-9877,No second phone number,www.facebook.com%2FIbewLocal
IWA Union Hall,"405 10th St, Hanover, ON N4N 1P7",No description,519-364-2229,No second phone number,iwafibp.ca
Canadian Union Of Postal Workers Cupw Local 582,"405 10Th St, Hanover, ON N4N 1P7",No description,519-506-4010,No second phone number,cupw.ca
International Brotherhood of Boilermakers - International Office,"880 Church Dr, Lefroy, ON",No description,705-456-1280,No second phone number,www.facebook.com%2F259637817707
Carpenter Union Local 2222,"385 Queen St, Kincardine, ON N2Z 2R4",No description,519-396-0222,No second phone number,No website
IWA Canada Local 1-1000,"282 Le Guerrier O, Mansfield et Pontefract, QC J0X 1V0",No description,819-683-2143,No second phone number,No website
Lindsay & District Labour Council,"4 Howard Ave, Lindsay, ON K9V 2W2",No description,705-878-8771,No second phone number,No website
CUPW Lindsay Local 564,"32 Cambridge St S, Lindsay, ON K9V 3B8",No description,705-878-4730,No second phone number,No website
UFCW Canada Bradford Migrant Worker Centre,"11 Holland St E, Bradford West Gwillimbury, ON",No description,905-775-3837,No second phone number,No website
CUPE Local 1196,"8-1160 Kerrisdale Blvd, Newmarket, ON L3Y 8Z9",No description,905-853-5533,No second phone number,No website
The Police Credit Union Ltd,"18025 Yonge St, Newmarket, ON L3Y 8C9","At the Police Credit Union we've got your back. We consider our members a part of our financial family and each one of us is committed to helping you through ordinary moments as we...
more...
See more text",905-836-4998,No second phone number,tpcu.on.ca
CUPE Local 905,"165 Pony Dr, Newmarket, ON L3Y 7B5",No description,905-967-0823,No second phone number,www.cupe905.com
Canadian Union Of Postal Workers Newmarket Local,"17665 Leslie St, Newmarket, ON L3Y 3E3",No description,905-836-0176,No second phone number,cupw.ca
C U P E Local 1734,"1260 Journey's End Cir, Newmarket, ON L3Y 8Z7",No description,905-836-0872,No second phone number,www.1734.cupe.ca
United Steel Workers Of,"178 Plaunt St S, Renfrew, ON K7V 1M8",No description,613-432-9100,No second phone number,No website
CUPE Local 1508,"350 Raglan St S, Renfrew, ON K7V 1R7",No description,613-432-8873,No second phone number,No website
Elementay Teachers York Region Ot,"30 Eric T Smith Way, Aurora, ON L4G 0Z6",No description,905-726-7925,No second phone number,etfo.ca
Canadian Auto Workers Local 1987,"10-871 Chemong Rd, Peterborough, ON K9H 5Z5","Unifor brings a modern approach to unionism: adopting new tools, involving and engaging our members, and always looking for new ways to develop the role and approach of our union t...
more...
See more text",705-742-5113,No second phone number,caw.ca
United Food & Commercial Workers International Union-Local 1000 A,"70 Creditview Rd, Woodbridge, ON L4L 9N4",No description,905-850-0096,No second phone number,No website
Canadian Union of Public Employees 3908,"310 London St, Peterborough, ON K9H 2Z4","Labour Organizations, offers support for students at Trent University",705-775-2873,No second phone number,www.cupe3908.org
Atu Local 1320,"193 Simcoe St, Peterborough, ON K9H 2H6",No description,705-743-8636,No second phone number,www.atu1320.org
Canadian Union Of Public Employees,"6-165 Sherbrooke St, Peterborough, ON K9J 2N2",No description,705-743-0600,No second phone number,cupe.ca
Independant Union Of Die Ca,"182 Sophia St, Peterborough, ON K9H 1E5",No description,705-745-6428,No second phone number,No website
Opseu,"1840 Lansdowne St W, Peterborough, ON K9K 1R5",No description,705-745-8526,No second phone number,No website
Canadian Union Postal Workers,"246 Romaine St, Peterborough, ON K9J 2C5",No description,705-742-3513,No second phone number,www.facebook.com%2F157123688382
Local Union 12R24,"83 Campbell E, ON L0B 1B0",No description,905-854-1224,No second phone number,www.ufcw12r24.ca
Seiu Local1 Canada,"12-604 Edward Ave, Richmond Hill, ON L4C 9Y7",No description,905-237-8022,No second phone number,No website
Heat & Frost Insulators,"5-166 Newkirk Rd, Richmond Hill, ON L4C 3G7",No description,905-237-1128,No second phone number,No website
Ufcw Local 333,"52-55 West Beaver Creek Rd, Richmond Hill, ON L4B 1K5",No description,289-597-1346,No second phone number,www.ufcw.ca
Cupe 2331-01-02,"8888 Keele St, Concord, ON L4K 2N2",No description,647-483-0214,No second phone number,No website
Graphic Communications International Union 100-M,"165 East Beaver Creek Rd, Richmond Hill, ON L4B 2N2",No description,416-730-9119,No second phone number,teamsters100m.ca
Teamsters Local 100M,"165 East Beaver Creek Rd, Richmond Hill, ON L4B 2N2",No description,905-881-9465,No second phone number,No website
Unionville South Pet Hospital,"4721 Highway 7, Unionville, ON L3R 1M7","At Unionville South Pet Hospital (USPH), we bring to Unionville, Markham, Richmond Hill, Stouffville, and Scarborough a new outlook and approach to veterinary care.
more...
See more text",905-604-5604,No second phone number,unionvillevet.com
Canadian Union Of Public Employees,"80 Commerce Valley Dr E, Thornhill, ON L3T 0B2",No description,905-709-3365,No second phone number,No website
Canadian Union Of Skilled Workers Joint Apprenticeship Councils,"4855 Anderson St, Whitby, ON L1R 2W2",No description,905-655-5562,No second phone number,No website
Osstf District 18,"265 Bridge St, Fergus, ON N1M 1T7",No description,519-843-4043,No second phone number,No website
Ontario Secondary School Teachers' Federation District 18,"265 Bridge St, Fergus, ON N1M 1T7",No description,519-843-3284,No second phone number,www.d18.osstf.ca
Ontario Secondary School Teachers' Federation District 18,"1-265 Bridge St, Fergus, ON N1M 1T7",No description,519-843-1517,No second phone number,No website
Delinquency Control Services,"150 Cambria Rd N, Goderich, ON N7A 2R1",No description,519-524-7689,No second phone number,No website
United Brotherhood of Carpenter & Joiners of America Local 2222,"150 Cambria Rd N, Goderich, ON N7A 2R1",No description,519-524-4971,No second phone number,No website
UA Local 853,"60 Shields Crt, Markham, ON L3R 9T5",No description,905-477-6022,1-800-387-7085,No website
Service Employees Union Local 210,"150 Cambria Rd N, Goderich, ON N7A 2R1",No description,519-524-1594,No second phone number,No website
BAC Canada Local 31,"200 Edgeley Blvd, Concord, ON L4K 3Y8",No description,905-760-1776,No second phone number,baculocal31.ca
Association Of Postal Official,"2750 14th Ave, Markham, ON L3R 0B6",No description,905-479-5950,No second phone number,www.apocyork.com
Teamsters Local Union No 230,"431 Alden Rd, Markham, ON L3R 3L4",No description,905-415-5139,No second phone number,teamsters.ca
OPSEU,"41 West St, Goderich, ON N7A 2K5",No description,519-612-1638,No second phone number,No website
Ontario Provincial Council United Brotherhood of Carpenters&Joiners of America,"233 Cambridge St, Goderich, ON",No description,519-524-6601,No second phone number,local2222.ca
Heat and Frost Insulators,"120 Amber St, Markham, ON L3R 3A3",No description,289-459-0122,No second phone number,No website
United Steel Workers Of America,"7581 Jane St, Concord, ON L4K 1X3",No description,905-669-8110,No second phone number,www.usw.org
Carpenters District Council,"222 Rowntree Dairy Rd, Woodbridge, ON L4L 9T2","We are a democratic organization, committed to equity and social justice, not just in our own union, not just in the communities in which our members live and work, but throughout ...
more...
See more text",905-652-4140,No second phone number,www.thecarpentersunion.ca
Drywall Acoustic Lathing & Installation Local 675,"222 Rowntree Dairy Rd, Woodbridge, ON L4L 9T2",No description,416-749-0675,No second phone number,No website
Drywall Acoustic Lathing & Installation Local 675,"222 Rowntree Dairy Rd, Woodbridge, ON L4L 9T2",No description,905-652-5499,No second phone number,No website
Carpenters District Council of Ontario,"222 Rowntree Dairy Rd, Woodbridge, ON L4L 9T2","The Carpenters’ District Council of Ontario represents over 20,000 carpenters, joiners and craftsmen from across the province. We participate in collective bargaining for local uni...
more...
See more text",416-749-7440,No second phone number,No website
College Of Carpenters And Allied Trades Inc,"420 Rowntree Dairy Rd, Woodbridge, ON L4L 8H2",No description,905-652-5507,No second phone number,www.carpenterstraining.ca
Communication Energy And Paperworkers,"1755 Steeles Ave W, North York, ON M2R 3T4",No description,416-667-2735,No second phone number,No website
SEIU Local 1,"200-2180 Steeles Ave W, Concord, ON L4K 2Z5","SEIU Healthcare negotiates better wages and benefits, increased job security, safer working conditions and manageable workloads for our members. We also contribute to healthcare po...
more...
See more text",905-660-1800,No second phone number,www.seiuhealthcare.ca
Service Employees International Union,"2180 Steeles Ave W, Concord, ON L4K 2Z5",No description,905-695-1203,No second phone number,No website
Teamsters Local Union 647 Milk & Bread Drivers &Dairy Employees,"2180 Steeles Ave W, Concord, ON L4K 2Z5",No description,905-760-0209,No second phone number,No website
United Association Refrigeration Workers,"419 Deerhurst Dr, Brampton, ON L6T 5K3","September 5, 2013 CANADIAN APPRENTICES WIN UA INTERNATIONAL APPRENTICE COMPETITION Two UA Canada apprentices won first place in their categories at the UA International Apprentice ...
more...
See more text",905-790-1019,No second phone number,www.uacanada.ca
United Association Refrigeration Workers Local Union 787,"419 Deerhurst Dr, Brampton, ON L6T 5K3","Welcome to the official Web site of United Association HVAC and Refrigeration Pipefitters Local Union 787. Local Union 787 represents over 3500 members throughout the Province of O...
more...
See more text",905-790-1022,No second phone number,www.ualocal787.org
Canadian Union Of Postal Workers,"130 Dynamic Dr, Scarborough, ON M1V 5C9",No description,416-412-1100,No second phone number,No website
Bakers Confectionery & Tobacco Workers International Union Local 181,"312 Dolomite Dr, North York, ON M3J 2N2",No description,416-514-0001,No second phone number,No website
C A W Canada,"115 Gordon Baker Rd, North York, ON M2H 0A8",No description,416-497-4110,No second phone number,No website
United Brotherhood Of Carpenters Canadian Office,"5799 Yonge St, North York, ON M2M 3V3",No description,416-225-8885,No second phone number,www.windsortentawning.com
Toronto Community Benefits Network,"2 Champagne Dr Suite C9, North York, ON M3J 0K2",No description,647-496-6487,No second phone number,communitybenefits.ca
United Steelworkers Of America,"21 Fenmar Dr, North York, ON M9L 2Y9",No description,416-748-9475,No second phone number,www.facebook.com%2F470910366441
CAW Local 126,"24 Fenmar Dr, North York, ON M9L 1L8",No description,416-741-2856,No second phone number,No website
Canadian Union Of Public Empl,"419 Oshawa Blvd N, Oshawa, ON L1G 5T2",No description,905-433-4760,No second phone number,No website
CUPE Local 1600,"361A Old Finch Ave, Scarborough, ON M1B 5W6",No description,416-579-2873,No second phone number,1600.cupe.ca
International Union Of Painters,"132 Toro Rd, North York, ON M3J 2A9",No description,416-630-9604,No second phone number,iupat.on.ca
International Union of Painters & Allied Trades,"132 Toro Rd, North York, ON M3J 2A9",No description,416-633-7175,No second phone number,No website
O S S T F,"3395 Weston Rd, North York, ON M9M 2V9",No description,416-745-2278,No second phone number,No website
Oshawa Local 579,"44 William St W, Oshawa, ON L1G 1J9",No description,905-433-1794,No second phone number,No website
