Name,Address,Description,Phone,2nd Phone,Website
Christian Labour Association Of Canada,"1351 Kelly Lake Rd, Sudbury, ON P3E 5P5",No description,705-523-9211,No second phone number,No website
Mine Mill Local 598 Caw,"2550 Richard Lake Rd, Sudbury, ON P3G 0A3","Mining WatchThe 16 CUPE workers in the township of Bonfield, (just outside North Bay) are locked out by the municipality. A rally organized by the OFL was set up on October 5, 2013...
more...
See more text",705-673-3661,No second phone number,minemill598.com
United Steelworkers,"2-29 Duncan Ave S, Kirkland Lake, ON P2N 1X5",No description,705-567-1849,No second phone number,No website
Iw A Canada,"532 Centre St, Espanola, ON P5E 1H1",No description,705-869-0727,No second phone number,No website
Cupe Local 210,"912 Pine St S RR 1, Timmins, ON P4N 7C2",No description,705-268-2700,No second phone number,No website
CAW Local 599,"75 Balsam St S, Timmins, ON P4N 2C9",No description,705-268-4599,No second phone number,No website
CUPW Local 624,"75 Balsam St S, Timmins, ON P4N 2C9",No description,705-264-0171,No second phone number,No website
UNIFOR Local 6,"70 Balsam St S, Timmins, ON P4N 2C8",No description,705-264-8993,No second phone number,No website
U S W Local 9350,"B-45 Spruce St S, Timmins, ON P4N 2M4",No description,705-268-0209,No second phone number,No website
Syndicat Canadien de La Fonction Publique,"124 Third Ave, Timmins, ON P4N 1C5",No description,705-264-1269,No second phone number,No website
Canadian Union of Public Employees,"124 Third Ave, Timmins, ON P4N 1C5",No description,705-264-1269,No second phone number,cupe.ca
OPSEU Ontario Public Service Employees Union,"1-414 Algonquin Blvd E, Timmins, ON P4N 1B6",No description,705-267-6285,No second phone number,No website
